Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Computers	Authorized Local Principals	Local User Owner	Application Package	
131.253.40.37_BLOCK		All	Yes	Block	No	Any	Any	131.253.40.37	Any	Any	Any	Any	Any	Any	Any	
131.253.40.53_BLOCK		All	Yes	Block	No	Any	Any	131.253.40.53	Any	Any	Any	Any	Any	Any	Any	
131.253.40.59_BLOCK		All	Yes	Block	No	Any	Any	131.253.40.59	Any	Any	Any	Any	Any	Any	Any	
134.170.115.60_BLOCK		All	Yes	Block	No	Any	Any	134.170.115.60	Any	Any	Any	Any	Any	Any	Any	
134.170.165.248_BLOCK		All	Yes	Block	No	Any	Any	134.170.165.248	Any	Any	Any	Any	Any	Any	Any	
134.170.179.87_BLOCK		All	Yes	Block	No	Any	Any	134.170.179.87	Any	Any	Any	Any	Any	Any	Any	
134.170.185.70_BLOCK		All	Yes	Block	No	Any	Any	134.170.185.70	Any	Any	Any	Any	Any	Any	Any	
134.170.188.248_BLOCK		All	Yes	Block	No	Any	Any	134.170.188.248	Any	Any	Any	Any	Any	Any	Any	
134.170.30.202_BLOCK		All	Yes	Block	No	Any	Any	134.170.30.202	Any	Any	Any	Any	Any	Any	Any	
134.170.51.190_BLOCK		All	Yes	Block	No	Any	Any	134.170.51.190	Any	Any	Any	Any	Any	Any	Any	
134.170.51.246_BLOCK		All	Yes	Block	No	Any	Any	134.170.51.246	Any	Any	Any	Any	Any	Any	Any	
134.170.51.248_BLOCK		All	Yes	Block	No	Any	Any	134.170.51.248	Any	Any	Any	Any	Any	Any	Any	
134.170.52.151_BLOCK		All	Yes	Block	No	Any	Any	134.170.52.151	Any	Any	Any	Any	Any	Any	Any	
134.170.53.30_BLOCK		All	Yes	Block	No	Any	Any	134.170.53.30	Any	Any	Any	Any	Any	Any	Any	
134.170.58.121_BLOCK		All	Yes	Block	No	Any	Any	134.170.58.121	Any	Any	Any	Any	Any	Any	Any	
137.116.74.190_BLOCK		All	Yes	Block	No	Any	Any	137.116.74.190	Any	Any	Any	Any	Any	Any	Any	
137.116.81.24_BLOCK		All	Yes	Block	No	Any	Any	137.116.81.24	Any	Any	Any	Any	Any	Any	Any	
137.117.235.16_BLOCK		All	Yes	Block	No	Any	Any	137.117.235.16	Any	Any	Any	Any	Any	Any	Any	
157.55.129.21_BLOCK		All	Yes	Block	No	Any	Any	157.55.129.21	Any	Any	Any	Any	Any	Any	Any	
157.55.130.0-157.55.130.255_BLOCK		All	Yes	Block	No	Any	Any	157.55.130.0-157.55.130.255	Any	Any	Any	Any	Any	Any	Any	
157.55.235.0-157.55.235.255_BLOCK		All	Yes	Block	No	Any	Any	157.55.235.0-157.55.235.255	Any	Any	Any	Any	Any	Any	Any	
157.55.236.0-157.55.236.255_BLOCK		All	Yes	Block	No	Any	Any	157.55.236.0-157.55.236.255	Any	Any	Any	Any	Any	Any	Any	
157.55.52.0-157.55.52.255_BLOCK		All	Yes	Block	No	Any	Any	157.55.52.0-157.55.52.255	Any	Any	Any	Any	Any	Any	Any	
157.55.56.0-157.55.56.255_BLOCK		All	Yes	Block	No	Any	Any	157.55.56.0-157.55.56.255	Any	Any	Any	Any	Any	Any	Any	
157.56.106.184_BLOCK		All	Yes	Block	No	Any	Any	157.56.106.184	Any	Any	Any	Any	Any	Any	Any	
157.56.106.189_BLOCK		All	Yes	Block	No	Any	Any	157.56.106.189	Any	Any	Any	Any	Any	Any	Any	
157.56.121.89_BLOCK		All	Yes	Block	No	Any	Any	157.56.121.89	Any	Any	Any	Any	Any	Any	Any	
157.56.124.87_BLOCK		All	Yes	Block	No	Any	Any	157.56.124.87	Any	Any	Any	Any	Any	Any	Any	
157.56.144.215_BLOCK		All	Yes	Block	No	Any	Any	157.56.144.215	Any	Any	Any	Any	Any	Any	Any	
157.56.144.216_BLOCK		All	Yes	Block	No	Any	Any	157.56.144.216	Any	Any	Any	Any	Any	Any	Any	
157.56.149.250_BLOCK		All	Yes	Block	No	Any	Any	157.56.149.250	Any	Any	Any	Any	Any	Any	Any	
157.56.23.91_BLOCK		All	Yes	Block	No	Any	Any	157.56.23.91	Any	Any	Any	Any	Any	Any	Any	
157.56.57.5_BLOCK		All	Yes	Block	No	Any	Any	157.56.57.5	Any	Any	Any	Any	Any	Any	Any	
157.56.74.250_BLOCK		All	Yes	Block	No	Any	Any	157.56.74.250	Any	Any	Any	Any	Any	Any	Any	
157.56.77.138_BLOCK		All	Yes	Block	No	Any	Any	157.56.77.138	Any	Any	Any	Any	Any	Any	Any	
157.56.77.139_BLOCK		All	Yes	Block	No	Any	Any	157.56.77.139	Any	Any	Any	Any	Any	Any	Any	
157.56.91.77_BLOCK		All	Yes	Block	No	Any	Any	157.56.91.77	Any	Any	Any	Any	Any	Any	Any	
157.56.91.82_BLOCK		All	Yes	Block	No	Any	Any	157.56.91.82	Any	Any	Any	Any	Any	Any	Any	
157.56.96.123_BLOCK		All	Yes	Block	No	Any	Any	157.56.96.123	Any	Any	Any	Any	Any	Any	Any	
157.56.96.58_BLOCK		All	Yes	Block	No	Any	Any	157.56.96.58	Any	Any	Any	Any	Any	Any	Any	
168.61.24.141_BLOCK		All	Yes	Block	No	Any	Any	168.61.24.141	Any	Any	Any	Any	Any	Any	Any	
168.62.187.13_BLOCK		All	Yes	Block	No	Any	Any	168.62.187.13	Any	Any	Any	Any	Any	Any	Any	
168.63.108.233_BLOCK		All	Yes	Block	No	Any	Any	168.63.108.233	Any	Any	Any	Any	Any	Any	Any	
173.194.113.219_BLOCK		All	Yes	Block	No	Any	Any	173.194.113.219	Any	Any	Any	Any	Any	Any	Any	
173.194.113.220_BLOCK		All	Yes	Block	No	Any	Any	173.194.113.220	Any	Any	Any	Any	Any	Any	Any	
185.13.160.61_BLOCK		All	Yes	Block	No	Any	Any	185.13.160.61	Any	Any	Any	Any	Any	Any	Any	
191.232.139.2-191.232.139.255_BLOCK		All	Yes	Block	No	Any	Any	191.232.139.2-191.232.139.255	Any	Any	Any	Any	Any	Any	Any	
191.232.140.76_BLOCK		All	Yes	Block	No	Any	Any	191.232.140.76	Any	Any	Any	Any	Any	Any	Any	
191.232.80.62_BLOCK		All	Yes	Block	No	Any	Any	191.232.80.62	Any	Any	Any	Any	Any	Any	Any	
191.237.208.126_BLOCK		All	Yes	Block	No	Any	Any	191.237.208.126	Any	Any	Any	Any	Any	Any	Any	
194.44.4.200_BLOCK		All	Yes	Block	No	Any	Any	194.44.4.200	Any	Any	Any	Any	Any	Any	Any	
194.44.4.208_BLOCK		All	Yes	Block	No	Any	Any	194.44.4.208	Any	Any	Any	Any	Any	Any	Any	
195.138.255.0-195.138.255.255_BLOCK		All	Yes	Block	No	Any	Any	195.138.255.0-195.138.255.255	Any	Any	Any	Any	Any	Any	Any	
198.41.214.183_BLOCK		All	Yes	Block	No	Any	Any	198.41.214.183	Any	Any	Any	Any	Any	Any	Any	
198.41.214.184_BLOCK		All	Yes	Block	No	Any	Any	198.41.214.184	Any	Any	Any	Any	Any	Any	Any	
198.41.214.186_BLOCK		All	Yes	Block	No	Any	Any	198.41.214.186	Any	Any	Any	Any	Any	Any	Any	
198.41.214.187_BLOCK		All	Yes	Block	No	Any	Any	198.41.214.187	Any	Any	Any	Any	Any	Any	Any	
198.41.215.182_BLOCK		All	Yes	Block	No	Any	Any	198.41.215.182	Any	Any	Any	Any	Any	Any	Any	
198.41.215.185_BLOCK		All	Yes	Block	No	Any	Any	198.41.215.185	Any	Any	Any	Any	Any	Any	Any	
198.41.215.186_BLOCK		All	Yes	Block	No	Any	Any	198.41.215.186	Any	Any	Any	Any	Any	Any	Any	
198.78.208.254_BLOCK		All	Yes	Block	No	Any	Any	198.78.208.254	Any	Any	Any	Any	Any	Any	Any	
2.22.61.43_BLOCK		All	Yes	Block	No	Any	Any	2.22.61.43	Any	Any	Any	Any	Any	Any	Any	
2.22.61.66_BLOCK		All	Yes	Block	No	Any	Any	2.22.61.66	Any	Any	Any	Any	Any	Any	Any	
204.79.197.200_BLOCK		All	Yes	Block	No	Any	Any	204.79.197.200	Any	Any	Any	Any	Any	Any	Any	
204.79.197.203_BLOCK		All	Yes	Block	No	Any	Any	204.79.197.203	Any	Any	Any	Any	Any	Any	Any	
207.123.56.252_BLOCK		All	Yes	Block	No	Any	Any	207.123.56.252	Any	Any	Any	Any	Any	Any	Any	
207.46.101.29_BLOCK		All	Yes	Block	No	Any	Any	207.46.101.29	Any	Any	Any	Any	Any	Any	Any	
207.46.114.58_BLOCK		All	Yes	Block	No	Any	Any	207.46.114.58	Any	Any	Any	Any	Any	Any	Any	
207.46.114.61_BLOCK		All	Yes	Block	No	Any	Any	207.46.114.61	Any	Any	Any	Any	Any	Any	Any	
207.46.194.14_BLOCK		All	Yes	Block	No	Any	Any	207.46.194.14	Any	Any	Any	Any	Any	Any	Any	
207.46.194.25_BLOCK		All	Yes	Block	No	Any	Any	207.46.194.25	Any	Any	Any	Any	Any	Any	Any	
207.46.194.33_BLOCK		All	Yes	Block	No	Any	Any	207.46.194.33	Any	Any	Any	Any	Any	Any	Any	
207.46.223.94_BLOCK		All	Yes	Block	No	Any	Any	207.46.223.94	Any	Any	Any	Any	Any	Any	Any	
207.46.7.252_BLOCK		All	Yes	Block	No	Any	Any	207.46.7.252	Any	Any	Any	Any	Any	Any	Any	
207.68.166.254_BLOCK		All	Yes	Block	No	Any	Any	207.68.166.254	Any	Any	Any	Any	Any	Any	Any	
212.30.134.204_BLOCK		All	Yes	Block	No	Any	Any	212.30.134.204	Any	Any	Any	Any	Any	Any	Any	
212.30.134.205_BLOCK		All	Yes	Block	No	Any	Any	212.30.134.205	Any	Any	Any	Any	Any	Any	Any	
213.199.179.0-213.199.179.255_BLOCK		All	Yes	Block	No	Any	Any	213.199.179.0-213.199.179.255	Any	Any	Any	Any	Any	Any	Any	
216.58.209.166_BLOCK		All	Yes	Block	No	Any	Any	216.58.209.166	Any	Any	Any	Any	Any	Any	Any	
23.101.115.193_BLOCK		All	Yes	Block	No	Any	Any	23.101.115.193	Any	Any	Any	Any	Any	Any	Any	
23.101.156.198_BLOCK		All	Yes	Block	No	Any	Any	23.101.156.198	Any	Any	Any	Any	Any	Any	Any	
23.101.187.68_BLOCK		All	Yes	Block	No	Any	Any	23.101.187.68	Any	Any	Any	Any	Any	Any	Any	
23.102.17.214_BLOCK		All	Yes	Block	No	Any	Any	23.102.17.214	Any	Any	Any	Any	Any	Any	Any	
23.102.21.4_BLOCK		All	Yes	Block	No	Any	Any	23.102.21.4	Any	Any	Any	Any	Any	Any	Any	
23.193.225.197_BLOCK		All	Yes	Block	No	Any	Any	23.193.225.197	Any	Any	Any	Any	Any	Any	Any	
23.193.230.88_BLOCK		All	Yes	Block	No	Any	Any	23.193.230.88	Any	Any	Any	Any	Any	Any	Any	
23.193.236.70_BLOCK		All	Yes	Block	No	Any	Any	23.193.236.70	Any	Any	Any	Any	Any	Any	Any	
23.193.238.90_BLOCK		All	Yes	Block	No	Any	Any	23.193.238.90	Any	Any	Any	Any	Any	Any	Any	
23.193.251.132_BLOCK		All	Yes	Block	No	Any	Any	23.193.251.132	Any	Any	Any	Any	Any	Any	Any	
23.210.48.42_BLOCK		All	Yes	Block	No	Any	Any	23.210.48.42	Any	Any	Any	Any	Any	Any	Any	
23.210.5.16_BLOCK		All	Yes	Block	No	Any	Any	23.210.5.16	Any	Any	Any	Any	Any	Any	Any	
23.210.63.75_BLOCK		All	Yes	Block	No	Any	Any	23.210.63.75	Any	Any	Any	Any	Any	Any	Any	
23.217.138.11_BLOCK		All	Yes	Block	No	Any	Any	23.217.138.11	Any	Any	Any	Any	Any	Any	Any	
23.217.138.122_BLOCK		All	Yes	Block	No	Any	Any	23.217.138.122	Any	Any	Any	Any	Any	Any	Any	
23.217.138.18_BLOCK		All	Yes	Block	No	Any	Any	23.217.138.18	Any	Any	Any	Any	Any	Any	Any	
23.217.138.25_BLOCK		All	Yes	Block	No	Any	Any	23.217.138.25	Any	Any	Any	Any	Any	Any	Any	
23.217.138.43_BLOCK		All	Yes	Block	No	Any	Any	23.217.138.43	Any	Any	Any	Any	Any	Any	Any	
23.217.138.90_BLOCK		All	Yes	Block	No	Any	Any	23.217.138.90	Any	Any	Any	Any	Any	Any	Any	
23.217.138.97_BLOCK		All	Yes	Block	No	Any	Any	23.217.138.97	Any	Any	Any	Any	Any	Any	Any	
23.218.212.69_BLOCK		All	Yes	Block	No	Any	Any	23.218.212.69	Any	Any	Any	Any	Any	Any	Any	
23.223.20.82_BLOCK		All	Yes	Block	No	Any	Any	23.223.20.82	Any	Any	Any	Any	Any	Any	Any	
23.57.101.163_BLOCK		All	Yes	Block	No	Any	Any	23.57.101.163	Any	Any	Any	Any	Any	Any	Any	
23.57.107.163_BLOCK		All	Yes	Block	No	Any	Any	23.57.107.163	Any	Any	Any	Any	Any	Any	Any	
23.57.107.27_BLOCK		All	Yes	Block	No	Any	Any	23.57.107.27	Any	Any	Any	Any	Any	Any	Any	
23.67.60.73_BLOCK		All	Yes	Block	No	Any	Any	23.67.60.73	Any	Any	Any	Any	Any	Any	Any	
23.74.8.80_BLOCK		All	Yes	Block	No	Any	Any	23.74.8.80	Any	Any	Any	Any	Any	Any	Any	
23.74.8.99_BLOCK		All	Yes	Block	No	Any	Any	23.74.8.99	Any	Any	Any	Any	Any	Any	Any	
